Plage,Aire,Temps,Position,Substrat,Date,Saison,Objet,Détail,Code,OPSAR,UNEP,Quantité,Poids
Amphion,98,50,1,4,01.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Amphion,342,170,2,4,01.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,42,0.0042
Amphion,342,170,2,4,03.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Amphion,98,50,1,4,19.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Amphion,342,170,2,4,19.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,11,0.0011
Amphion,98,50,1,4,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,9,0.0009
Amphion,342,170,2,4,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,11,0.0011
Aubonne,268,150,2,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Aubonne,72,40,1,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Baby Plage,112,60,1,1,22.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Baby Plage,384,200,2,1,23.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Baby Plage,384,200,2,1,02.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Bouveret,99,50,1,1,15.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Bouveret,438,220,2,1,15.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,15,0.0015
Bouveret,99,50,1,1,30.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Bouveret,438,220,2,1,30.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,14,0.0014
Bouveret,438,220,2,1,03.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Bouveret,99,50,1,1,03.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Bouveret,438,220,2,1,05.11.2022,4,Anneau plastique bouteille,,G24,15,PL01,6,0.0006
Clarens,67,30,1,4,29.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Clarens,273,125,2,2,30.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Clarens,67,30,1,4,30.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Clarens,273,125,2,2,17.12.2022,4,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Excenevex,175,90,1,1,13.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Excenevex,1803,900,2,1,13.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Lugrin,72,35,1,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Lugrin,159,80,2,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Lugrin,159,80,2,4,07.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Lugrin,159,80,2,4,02.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Préverenges,961,490,2,1,12.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Rolle,815,415,2,1,06.11.2022,4,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,75,30,1,4,29.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,259,100,2,4,29.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Saint-Disdille,259,100,2,4,23.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Saint-Disdille,75,30,1,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,259,100,2,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Saint-Disdille,75,30,1,4,22.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Saint-Disdille,259,100,2,4,22.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,6,0.0006
Savonnière,325,160,2,2,16.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Vidy,413,210,2,1,04.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Vidy,91,45,1,1,13.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Vidy,413,210,2,1,13.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Vidy,91,45,1,1,12.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Vidy,413,210,2,1,12.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Vidy,413,210,2,1,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Baby Plage,112,60,1,1,22.01.2022,1,Balle/Ballon de sport,,G126,,RB01,1,0.45
Grangettes,79,40,1,1,02.05.2022,2,Balle/Ballon de sport,,G126,,RB01,1,0.45
Grangettes,79,40,1,1,18.07.2022,3,Balle/Ballon de sport,,G126,,RB01,1,0.45
Lugrin,159,80,2,4,07.05.2022,2,Balle/Ballon de sport,,G126,,RB01,3,1.35
Amphion,98,50,1,4,19.07.2022,3,Ballon de baudruche,,G125,49,RB01,1,0.0008
Aubonne,72,40,1,4,14.05.2022,2,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,112,60,1,1,22.01.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,384,200,2,1,22.01.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,112,60,1,1,15.10.2022,4,Ballon de baudruche,,G125,49,RB01,1,0.0008
Bouveret,99,50,1,1,15.01.2022,1,Ballon de baudruche,,G125,49,RB01,2,0.0016
Bouveret,438,220,2,1,15.01.2022,1,Ballon de baudruche,,G125,49,RB01,5,0.004
Bouveret,99,50,1,1,03.09.2022,3,Ballon de baudruche,,G125,49,RB01,4,0.0032
Bouveret,438,220,2,1,05.11.2022,4,Ballon de baudruche,,G125,49,RB01,3,0.0024
Grangettes,260,130,2,1,13.02.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Grangettes,260,130,2,1,02.05.2022,2,Ballon de baudruche,,G125,49,RB01,1,0.0008
Grangettes,79,40,1,1,18.07.2022,3,Ballon de baudruche,,G125,49,RB01,1,0.0008
Grangettes,79,40,1,1,08.11.2022,4,Ballon de baudruche,,G125,49,RB01,2,0.0016
Lugrin,72,35,1,4,05.11.2022,4,Ballon de baudruche,,G125,49,RB01,1,0.0008
Préverenges,961,490,2,,13.08.2022,3,Ballon de baudruche,,G125,49,RB01,2,0.0016
Préverenges,961,490,2,1,05.11.2022,4,Ballon de baudruche,,G125,49,RB01,1,0.0008
Saint-Disdille,259,100,2,4,23.04.2022,2,Ballon de baudruche,,G125,49,RB01,2,0.0016
Saint-Disdille,259,100,2,4,10.09.2022,3,Ballon de baudruche,,G125,49,RB01,1,0.0008
Savonnière,325,160,2,2,16.01.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Savonnière,325,160,2,2,06.08.2022,3,Ballon de baudruche,,G125,49,RB01,6,0.0048
Savonnière,82,40,1,4,06.11.2022,4,Ballon de baudruche,,G125,49,RB01,1,0.0008
Savonnière,325,160,2,2,06.11.2022,4,Ballon de baudruche,,G125,49,RB01,2,0.0016
Tougues,450,220,2,2,10.08.2022,3,Ballon de baudruche,,G125,49,RB01,1,0.0008
Vidy,91,45,1,1,04.02.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Vidy,413,210,2,1,04.02.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Vidy,91,45,1,1,13.05.2022,2,Ballon de baudruche,,G125,49,RB01,2,0.0016
Vidy,91,45,1,1,12.07.2022,3,Ballon de baudruche,,G125,49,RB01,2,0.0016
Vidy,413,210,2,1,12.07.2022,3,Ballon de baudruche,,G125,49,RB01,2,0.0016
Vidy,413,210,2,1,18.10.2022,4,Ballon de baudruche,,G125,49,RB01,2,0.0016
Versoix,37,20,1,3,2/5/2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Amphion,342,170,2,4,01.02.2022,1,Bande de cerclage en plastique,,G66,39,PL21,7,0.042
Amphion,342,170,2,4,19.07.2022,3,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Amphion,342,170,2,4,18.10.2022,4,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Aubonne,268,150,2,4,14.05.2022,2,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Baby Plage,112,60,1,1,02.09.2022,3,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Baby Plage,384,200,2,1,02.09.2022,3,Bande de cerclage en plastique,,G66,39,PL21,4,0.024
Bouveret,99,50,1,1,15.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Bouveret,438,220,2,1,15.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Bouveret,438,220,2,1,30.04.2022,2,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Bouveret,99,50,1,1,03.09.2022,3,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Clarens,273,125,2,2,16.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Clarens,273,125,2,2,30.07.2022,3,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Grangettes,260,130,2,1,08.11.2022,4,Bande de cerclage en plastique,,G66,39,PL21,8,0.048
Lugrin,159,80,2,4,07.05.2022,2,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Lugrin,159,80,2,4,02.07.2022,3,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Port Choiseul,297,150,2,3,15.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,10,0.06
Port Choiseul,147,70,1,3,16.04.2022,2,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Port Choiseul,297,150,2,3,16.04.2022,2,Bande de cerclage en plastique,,G66,39,PL21,23,0.138
Rolle,122,60,1,1,15.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Rolle,815,415,2,1,15.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,6,0.036
Rolle,937,475,2,1,01.05.2022,2,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Rolle,122,60,1,1,06.11.2022,4,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Rolle,815,415,2,1,06.11.2022,4,Bande de cerclage en plastique,,G66,39,PL21,4,0.024
Saint-Disdille,75,30,1,4,29.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Saint-Disdille,259,100,2,4,29.01.2022,1,Bande de cerclage en plastique,,G66,39,PL21,6,0.036
Saint-Disdille,259,100,2,4,23.04.2022,2,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Saint-Disdille,259,100,2,4,10.09.2022,3,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Saint-Disdille,75,30,1,4,22.10.2022,4,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Saint-Disdille,259,100,2,4,22.10.2022,4,Bande de cerclage en plastique,,G66,39,PL21,2,0.012
Savonnière,325,160,2,2,06.08.2022,3,Bande de cerclage en plastique,,G66,39,PL21,9,0.054
Savonnière,82,40,1,4,06.11.2022,4,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Savonnière,325,160,2,2,06.11.2022,4,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Tolochenaz,52,25,1,2,01.05.2022,2,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Tolochenaz,52,25,1,2,21.08.2022,3,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Vidy,91,45,1,1,04.02.2022,1,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Vidy,91,45,1,1,13.05.2022,2,Bande de cerclage en plastique,,G66,39,PL21,3,0.018
Vidy,91,45,1,1,12.07.2022,3,Bande de cerclage en plastique,,G66,39,PL21,1,0.006
Amphion,342,170,2,4,01.02.2022,1,Bande élastique,,G131,,,1,0.00028
Amphion,342,170,2,4,03.05.2022,2,Bande élastique,,G131,,,1,0.00028
Anthy,211,95,2,4,09.02.2022,1,Bande élastique,,G131,,,1,0.00028
Baby Plage,384,200,2,1,23.04.2022,2,Bande élastique,,G131,,,4,0.00112
Baby Plage,384,200,2,1,02.09.2022,3,Bande élastique,,G131,,,4,0.00112
Baby Plage,384,200,2,1,15.10.2022,4,Bande élastique,,G131,,,4,0.00112
Bouveret,438,220,2,1,05.11.2022,4,Bande élastique,,G131,,,1,0.00028
Clarens,273,125,2,2,30.07.2022,3,Bande élastique,,G131,,,3,0.00084
Hermance,105,50,1,4,9/11/2022,3,Bande élastique,,G131,,,1,0.0003
Port Choiseul,297,150,2,3,16.04.2022,2,Bande élastique,,G131,,,1,0.00028
Préverenges,961,490,2,1,30.04.2022,2,Bande élastique,,G131,,,1,0.00028
Préverenges,961,490,2,,13.08.2022,3,Bande élastique,,G131,,,1,0.00028
Préverenges,961,490,2,1,05.11.2022,4,Bande élastique,,G131,,,2,0.00056
Rolle,937,475,2,1,01.05.2022,2,Bande élastique,,G131,,,2,0.00056
Rolle,815,415,2,1,06.11.2022,4,Bande élastique,,G131,,,5,0.0014
Saint-Disdille,259,100,2,4,29.01.2022,1,Bande élastique,,G131,,,3,0.00084
Saint-Disdille,259,100,2,4,10.09.2022,3,Bande élastique,,G131,,,4,0.00112
Savonnière,325,160,2,2,06.08.2022,3,Bande élastique,,G131,,,8,0.00224
Tougues,450,220,2,2,29.01.2022,1,Bande élastique,,G131,,,1,0.00028
Tougues,450,220,2,2,07.05.2022,2,Bande élastique,,G131,,,1,0.00028
Tougues,450,220,2,2,10.08.2022,3,Bande élastique,,G131,,,2,0.00056
Vidy,91,45,1,1,13.05.2022,2,Bande élastique,,G131,,,2,0.00056
Vidy,413,210,2,1,12.07.2022,3,Bande élastique,,G131,,,2,0.00056
Versoix,132,65,2,3,2/5/2022,1,Bande élastique,,G131,,,1,0.0003
Amphion,98,50,1,4,01.02.2022,1,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Amphion,342,170,2,4,01.02.2022,1,Bâtonnet de sucette en plastique,,G31,19,,9,0.00162
Amphion,342,170,2,4,03.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,8,0.00144
Amphion,98,50,1,4,19.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Amphion,342,170,2,4,19.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,8,0.00144
Amphion,98,50,1,4,18.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Amphion,342,170,2,4,18.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,7,0.00126
Anthy,211,95,2,4,04.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Anthy,62,30,1,4,20.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Aubonne,268,150,2,4,14.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Aubonne,72,40,1,4,05.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Bouveret,99,50,1,1,15.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,20,0.0036
Bouveret,438,220,2,1,15.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,46,0.00828
Bouveret,438,220,2,1,30.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,16,0.00288
Bouveret,438,220,2,1,03.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Bouveret,99,50,1,1,03.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,12,0.00216
Bouveret,438,220,2,1,05.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,18,0.00324
Clarens,273,125,2,2,16.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Clarens,67,30,1,4,29.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Clarens,273,125,2,2,29.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Clarens,273,125,2,2,30.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Crans,16,6,1,2,06.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Excenevex,175,90,1,1,13.02.2022,1,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Excenevex,175,90,1,1,08.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Excenevex,1803,900,2,1,08.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,6,0.00108
Excenevex,175,90,1,1,04.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Excenevex,1803,900,2,1,04.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Excenevex,1803,900,2,1,06.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Excenevex,175,90,1,1,06.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,7,0.00126
Grangettes,79,40,1,1,18.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Hermance,265,130,2,4,5/14/2022,2,Bâtonnet de sucette en plastique,,G31,19,,6,0.0011
Lugrin,72,35,1,4,07.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Lugrin,72,35,1,4,02.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Lugrin,159,80,2,4,02.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Lugrin,72,35,1,4,05.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Lugrin,159,80,2,4,05.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Lutry,234,120,2,2,29.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,4,0.00072
Lutry,77,40,1,4,29.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,7,0.00126
Lutry,77,40,1,4,19.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,14,0.00252
Lutry,234,120,2,2,19.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,8,0.00144
Lutry,234,120,2,2,08.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Lutry,234,120,2,2,02.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,18,0.00324
Lutry,77,40,1,4,02.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,12,0.00216
Port Choiseul,297,150,2,3,15.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,8,0.00144
Port Choiseul,147,70,1,3,16.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Préverenges,961,490,2,1,30.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,4,0.00072
Préverenges,961,490,2,,13.08.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Préverenges,961,490,2,1,05.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Rolle,937,475,2,1,01.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Rolle,815,415,2,1,06.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,6,0.00108
Saint-Disdille,75,30,1,4,29.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Saint-Disdille,259,100,2,4,29.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,6,0.00108
Saint-Disdille,75,30,1,4,23.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Saint-Disdille,259,100,2,4,23.04.2022,2,Bâtonnet de sucette en plastique,,G31,19,,9,0.00162
Saint-Disdille,75,30,1,4,10.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Saint-Disdille,259,100,2,4,10.09.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Saint-Disdille,75,30,1,4,22.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Saint-Disdille,259,100,2,4,22.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,4,0.00072
Savonnière,325,160,2,2,16.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Savonnière,82,40,1,4,16.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,4,0.00072
Savonnière,82,40,1,4,01.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Savonnière,325,160,2,2,01.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Savonnière,325,160,2,2,06.08.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Savonnière,325,160,2,2,06.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Tolochenaz,75,40,2,2,01.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Tolochenaz,75,40,2,2,12.11.2022,4,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Tougues,450,220,2,2,29.01.2022,1,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Tougues,450,220,2,2,07.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Tougues,450,220,2,2,10.08.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Vidy,413,210,2,1,04.02.2022,1,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Vidy,91,45,1,1,13.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Vidy,413,210,2,1,13.05.2022,2,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Vidy,91,45,1,1,12.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Vidy,413,210,2,1,12.07.2022,3,Bâtonnet de sucette en plastique,,G31,19,,5,0.0009
Vidy,413,210,2,1,18.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,3,0.00054
Versoix,37,20,1,3,15.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,1,0.00018
Versoix,132,65,1,3,15.10.2022,4,Bâtonnet de sucette en plastique,,G31,19,,2,0.00036
Lugrin,72,35,1,4,05.11.2022,4,Botte en cuir,,G127,57,CL01,1,0.3
Lugrin,159,80,2,4,05.11.2022,4,Botte en cuir,,G127,57,CL01,1,0.3
Amphion,342,170,2,4,01.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,23,0.04025
Aubonne,72,40,1,4,14.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Aubonne,268,150,2,4,14.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Aubonne,72,40,1,4,10.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,3,0.00525
Baby Plage,384,200,2,1,23.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Baby Plage,112,60,1,1,02.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Baby Plage,384,200,2,1,02.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Bouveret,99,50,1,1,15.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,22,0.0385
Bouveret,438,220,2,1,15.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,8,0.014
Bouveret,99,50,1,1,30.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,31,0.05425
Bouveret,438,220,2,1,30.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,9,0.01575
Bouveret,438,220,2,1,03.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Bouveret,99,50,1,1,03.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,9,0.01575
Bouveret,438,220,2,1,05.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,14,0.0245
Clarens,273,125,2,2,16.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Clarens,273,125,2,2,29.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Clarens,67,30,1,4,30.07.2022,3,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Excenevex,1803,900,2,1,13.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Excenevex,175,90,1,1,13.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,3,0.00525
Excenevex,175,90,1,1,08.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Excenevex,1803,900,2,1,08.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,3,0.00525
Excenevex,1803,900,2,1,04.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,5,0.00875
Excenevex,175,90,1,1,06.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,4,0.007
Gland,22,8,2,2,18.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Grangettes,79,40,1,1,13.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,7,0.01225
Grangettes,260,130,2,1,13.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,20,0.035
Grangettes,79,40,1,1,18.07.2022,3,Bouchon/capuchon PET,,G21,15,PL01,21,0.03675
Grangettes,79,40,1,1,08.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,4,0.007
Grangettes,260,130,2,1,08.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,13,0.02275
Hermance,265,130,2,4,9/11/2022,3,Bouchon/capuchon PET,,G21,15,PL01,1,0.0018
Lugrin,72,35,1,4,06.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Lugrin,72,35,1,4,07.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Lugrin,72,35,1,4,02.07.2022,3,Bouchon/capuchon PET,,G21,15,PL01,3,0.00525
Lugrin,159,80,2,4,02.07.2022,3,Bouchon/capuchon PET,,G21,15,PL01,6,0.0105
Lugrin,159,80,2,4,05.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Lutry,77,40,1,4,29.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Lutry,77,40,1,4,08.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Lutry,234,120,2,2,02.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Port Choiseul,297,150,2,3,15.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,23,0.04025
Port Choiseul,297,150,2,3,16.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,12,0.021
Port Choiseul,297,150,2,3,15.10.2022,4,Bouchon/capuchon PET,,G21,15,PL01,14,0.0245
Préverenges,961,490,2,1,12.02.2022,1,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Préverenges,961,490,2,1,30.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Préverenges,961,490,2,,13.08.2022,3,Bouchon/capuchon PET,,G21,15,PL01,3,0.00525
Préverenges,961,490,2,1,05.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,5,0.00875
Rolle,937,475,2,1,01.05.2022,2,Bouchon/capuchon PET,,G21,15,PL01,1,0.00175
Rolle,815,415,2,1,06.11.2022,4,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
Saint-Disdille,259,100,2,4,29.01.2022,1,Bouchon/capuchon PET,,G21,15,PL01,37,0.06475
Saint-Disdille,75,30,1,4,23.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,7,0.01225
Saint-Disdille,259,100,2,4,23.04.2022,2,Bouchon/capuchon PET,,G21,15,PL01,17,0.02975
Saint-Disdille,259,100,2,4,10.09.2022,3,Bouchon/capuchon PET,,G21,15,PL01,2,0.0035
